AAA(t),AAA(t-1),AAA(t-2),deltaAAA(t),deltaAAA(t-1),AAp(t),AAp(t-1),AAp(t-2),deltaAAp(t),deltaAAp(t-1),AA(t),AA(t-1),AA(t-2),deltaAA(t),deltaAA(t-1),AAm(t),AAm(t-1),AAm(t-2),deltaAAm(t),deltaAAm(t-1),Ap(t),Ap(t-1),Ap(t-2),deltaAp(t),deltaAp(t-1),A(t),A(t-1),A(t-2),deltaA(t),deltaA(t-1),Am(t),Am(t-1),Am(t-2),deltaAm(t),deltaAm(t-1),volatility_t,volatility_t-1,delta_v
0.329,0.331,0.328,-0.002,0.003,0.359,0.361,0.358,-0.002,0.003,0.399,0.391,0.398,0.008,-0.007,0.419,0.421,0.418,-0.002,0.003,0.609,0.611,0.608,-0.002,0.003,0.869,0.871,0.868,-0.002,0.003,1.289,1.291,1.288,-0.002,0.003,10.48,-3.93,14.41
0.331,0.328,0.336,0.003,-0.008,0.361,0.358,0.366,0.003,-0.008,0.391,0.398,0.396,-0.007,0.002,0.421,0.418,0.426,0.003,-0.008,0.611,0.608,0.616,0.003,-0.008,0.871,0.868,0.876,0.003,-0.008,1.291,1.288,1.296,0.003,-0.008,-3.93,19.44,-23.37
0.328,0.336,0.326,-0.008,0.01,0.358,0.366,0.346,-0.008,0.02,0.398,0.396,0.386,0.002,0.01,0.418,0.426,0.416,-0.008,0.01,0.608,0.616,0.596,-0.008,0.02,0.868,0.876,0.866,-0.008,0.01,1.288,1.296,1.276,-0.008,0.02,19.44,8.55,10.89
0.336,0.326,0.329,0.01,-0.003,0.366,0.346,0.349,0.02,-0.003,0.396,0.386,0.389,0.01,-0.003,0.426,0.416,0.419,0.01,-0.003,0.616,0.596,0.599,0.02,-0.003,0.876,0.866,0.869,0.01,-0.003,1.296,1.276,1.279,0.02,-0.003,8.55,0.27,8.28
0.326,0.329,0.32,-0.003,0.009,0.346,0.349,0.34,-0.003,0.009,0.386,0.389,0.38,-0.003,0.009,0.416,0.419,0.41,-0.003,0.009,0.596,0.599,0.59,-0.003,0.009,0.866,0.869,0.86,-0.003,0.009,1.276,1.279,1.27,-0.003,0.009,0.27,-0.33,0.6
0.329,0.32,0.33,0.009,-0.01,0.349,0.34,0.35,0.009,-0.01,0.389,0.38,0.39,0.009,-0.01,0.419,0.41,0.42,0.009,-0.01,0.599,0.59,0.6,0.009,-0.01,0.869,0.86,0.87,0.009,-0.01,1.279,1.27,1.28,0.009,-0.01,-0.33,6.35,-6.68
0.32,0.33,0.325,-0.01,0.005,0.34,0.35,0.345,-0.01,0.005,0.38,0.39,0.385,-0.01,0.005,0.41,0.42,0.415,-0.01,0.005,0.59,0.6,0.605,-0.01,-0.005,0.86,0.87,0.865,-0.01,0.005,1.27,1.28,1.285,-0.01,-0.005,6.35,1.84,4.51
0.33,0.325,0.323,0.005,0.002,0.35,0.345,0.343,0.005,0.002,0.39,0.385,0.383,0.005,0.002,0.42,0.415,0.413,0.005,0.002,0.6,0.605,0.603,-0.005,0.002,0.87,0.865,0.863,0.005,0.002,1.28,1.285,1.283,-0.005,0.002,1.84,1.02,0.82
0.325,0.323,0.321,0.002,0.002,0.345,0.343,0.341,0.002,0.002,0.385,0.383,0.381,0.002,0.002,0.415,0.413,0.411,0.002,0.002,0.605,0.603,0.601,0.002,0.002,0.865,0.863,0.861,0.002,0.002,1.285,1.283,1.281,0.002,0.002,1.02,-1.59,2.61
0.323,0.321,0.324,0.002,-0.003,0.343,0.341,0.354,0.002,-0.013,0.383,0.381,0.384,0.002,-0.003,0.413,0.411,0.414,0.002,-0.003,0.603,0.601,0.604,0.002,-0.003,0.863,0.861,0.864,0.002,-0.003,1.283,1.281,1.284,0.002,-0.003,-1.59,-6.66,5.07
0.321,0.324,0.32,-0.003,0.004,0.341,0.354,0.35,-0.013,0.004,0.381,0.384,0.39,-0.003,-0.006,0.411,0.414,0.41,-0.003,0.004,0.601,0.604,0.6,-0.003,0.004,0.861,0.864,0.86,-0.003,0.004,1.281,1.284,1.28,-0.003,0.004,-6.66,-0.33,-6.33
0.324,0.32,0.319,0.004,0.001,0.354,0.35,0.349,0.004,0.001,0.384,0.39,0.379,-0.006,0.011,0.414,0.41,0.409,0.004,0.001,0.604,0.6,0.599,0.004,0.001,0.864,0.86,0.859,0.004,0.001,1.284,1.28,1.279,0.004,0.001,-0.33,3.94,-4.27
0.32,0.319,0.333,0.001,-0.014,0.35,0.349,0.363,0.001,-0.014,0.39,0.379,0.393,0.011,-0.014,0.41,0.409,0.423,0.001,-0.014,0.6,0.599,0.613,0.001,-0.014,0.86,0.859,0.873,0.001,-0.014,1.28,1.279,1.293,0.001,-0.014,3.94,-1.57,5.51
0.319,0.333,0.329,-0.014,0.004,0.349,0.363,0.359,-0.014,0.004,0.379,0.393,0.399,-0.014,-0.006,0.409,0.423,0.429,-0.014,-0.006,0.599,0.613,0.609,-0.014,0.004,0.859,0.873,0.879,-0.014,-0.006,1.279,1.293,1.289,-0.014,0.004,-1.57,-2.3,0.73
0.333,0.329,0.329,0.004,0,0.363,0.359,0.359,0.004,0,0.393,0.399,0.389,-0.006,0.01,0.423,0.429,0.419,-0.006,0.01,0.613,0.609,0.609,0.004,0,0.873,0.879,0.869,-0.006,0.01,1.293,1.289,1.289,0.004,0,-2.3,-0.87,-1.43
0.329,0.329,0.337,0,-0.008,0.359,0.359,0.367,0,-0.008,0.399,0.389,0.397,0.01,-0.008,0.429,0.419,0.427,0.01,-0.008,0.609,0.609,0.617,0,-0.008,0.879,0.869,0.877,0.01,-0.008,1.289,1.289,1.297,0,-0.008,-0.87,-4.81,3.94
0.329,0.337,0.329,-0.008,0.008,0.359,0.367,0.359,-0.008,0.008,0.389,0.397,0.389,-0.008,0.008,0.419,0.427,0.419,-0.008,0.008,0.609,0.617,0.609,-0.008,0.008,0.869,0.877,0.869,-0.008,0.008,1.289,1.297,1.289,-0.008,0.008,-4.81,0.16,-4.97
0.337,0.329,0.32,0.008,0.009,0.367,0.359,0.35,0.008,0.009,0.397,0.389,0.38,0.008,0.009,0.427,0.419,0.41,0.008,0.009,0.617,0.609,0.6,0.008,0.009,0.877,0.869,0.86,0.008,0.009,1.297,1.289,1.28,0.008,0.009,0.16,4.95,-4.79
0.329,0.32,0.328,0.009,-0.008,0.359,0.35,0.348,0.009,0.002,0.389,0.38,0.388,0.009,-0.008,0.419,0.41,0.418,0.009,-0.008,0.609,0.6,0.598,0.009,0.002,0.869,0.86,0.868,0.009,-0.008,1.289,1.28,1.278,0.009,0.002,4.95,8.18,-3.23
0.32,0.328,0.326,-0.008,0.002,0.35,0.348,0.356,0.002,-0.008,0.38,0.388,0.386,-0.008,0.002,0.41,0.418,0.416,-0.008,0.002,0.6,0.598,0.606,0.002,-0.008,0.86,0.868,0.866,-0.008,0.002,1.28,1.278,1.286,0.002,-0.008,8.18,-7.26,15.44
0.328,0.326,0.323,0.002,0.003,0.348,0.356,0.353,-0.008,0.003,0.388,0.386,0.383,0.002,0.003,0.418,0.416,0.413,0.002,0.003,0.598,0.606,0.603,-0.008,0.003,0.868,0.866,0.863,0.002,0.003,1.278,1.286,1.283,-0.008,0.003,-7.26,19.74,-27
0.326,0.323,0.335,0.003,-0.012,0.356,0.353,0.355,0.003,-0.002,0.386,0.383,0.395,0.003,-0.012,0.416,0.413,0.425,0.003,-0.012,0.606,0.603,0.605,0.003,-0.002,0.866,0.863,0.875,0.003,-0.012,1.286,1.283,1.285,0.003,-0.002,19.74,7.07,12.67
0.323,0.335,0.325,-0.012,0.01,0.353,0.355,0.345,-0.002,0.01,0.383,0.395,0.385,-0.012,0.01,0.413,0.425,0.415,-0.012,0.01,0.603,0.605,0.595,-0.002,0.01,0.863,0.875,0.865,-0.012,0.01,1.283,1.285,1.275,-0.002,0.01,7.07,-0.83,7.9
0.335,0.325,0.317,0.01,0.008,0.355,0.345,0.337,0.01,0.008,0.395,0.385,0.377,0.01,0.008,0.425,0.415,0.407,0.01,0.008,0.605,0.595,0.587,0.01,0.008,0.875,0.865,0.857,0.01,0.008,1.285,1.275,1.267,0.01,0.008,-0.83,5.65,-6.48
0.325,0.317,0.324,0.008,-0.007,0.345,0.337,0.354,0.008,-0.017,0.385,0.377,0.384,0.008,-0.007,0.415,0.407,0.414,0.008,-0.007,0.595,0.587,0.604,0.008,-0.017,0.865,0.857,0.864,0.008,-0.007,1.275,1.267,1.284,0.008,-0.017,5.65,0.29,5.36
0.317,0.324,0.329,-0.007,-0.005,0.337,0.354,0.349,-0.017,0.005,0.377,0.384,0.389,-0.007,-0.005,0.407,0.414,0.419,-0.007,-0.005,0.587,0.604,0.599,-0.017,0.005,0.857,0.864,0.869,-0.007,-0.005,1.267,1.284,1.279,-0.017,0.005,0.29,0.15,0.14
0.324,0.329,0.334,-0.005,-0.005,0.354,0.349,0.354,0.005,-0.005,0.384,0.389,0.394,-0.005,-0.005,0.414,0.419,0.424,-0.005,-0.005,0.604,0.599,0.604,0.005,-0.005,0.864,0.869,0.874,-0.005,-0.005,1.284,1.279,1.284,0.005,-0.005,0.15,1.57,-1.42
