delta_v,delta_treasury(3Y)t,delta_treasury(3Y)t-1,delta_treasury(1Y)t,delta_treasury(1Y)t-1,deltaAAAt,deltaAAAt-1,deltaAAplt,deltaAAplt-1,deltaAAmit,deltaAAmit-1,deltaAplt,deltaAplt-1,deltaAt,deltaAt-1,deltaAmit,deltaAmit-1,deltaAAt,deltaAAt-1
0.00027,-0.004,0.005,0.003,0,0.004,-0.005,0.004,-0.005,0.004,-0.005,0.004,-0.005,0.004,-0.005,0.004,-0.005,0.004,-0.005
3.00E-05,-0.005,-0.004,0.002,0.003,0.005,0.004,0.005,0.004,0.005,0.004,0.005,0.004,0.005,0.004,0.005,0.004,0.005,0.004
-5.00E-05,-0.015,-0.005,-0.005,0.002,0.015,0.005,0.015,0.005,0.015,0.005,0.015,0.005,0.015,0.005,0.015,0.005,0.015,0.005
-2.00E-05,-0.004,-0.015,-0.008,-0.005,0.004,0.015,0.004,0.015,0.004,0.015,0.004,0.015,0.004,0.015,0.004,0.015,0.004,0.015
-0.00184,0.015,-0.004,0.009,-0.008,-0.015,0.004,-0.015,0.004,-0.015,0.004,-0.015,0.004,-0.015,0.004,-0.015,0.004,-0.015,0.004
2.00E-05,0.016,0.015,0.015,0.009,-0.016,-0.015,-0.016,-0.015,-0.016,-0.015,-0.016,-0.015,-0.016,-0.015,-0.016,-0.015,-0.016,-0.015
-8.00E-05,0.001,0.016,0.001,0.015,-0.001,-0.016,-0.001,-0.016,-0.001,-0.016,-0.001,-0.016,-0.001,-0.016,-0.001,-0.016,-0.001,-0.016
-6.00E-05,0.007,0.001,0.007,0.001,-0.007,-0.001,-0.007,-0.001,-0.007,-0.001,-0.007,-0.001,-0.007,-0.001,-0.007,-0.001,-0.007,-0.001
-0.00031,0.012,0.007,0.008,0.007,-0.012,-0.007,-0.012,-0.007,-0.012,-0.007,-0.012,-0.007,-0.012,-0.007,-0.012,-0.007,-0.012,-0.007
-1.00E-05,0.014,0.012,0.005,0.008,-0.014,-0.012,-0.014,-0.012,-0.014,-0.012,-0.014,-0.012,-0.014,-0.012,-0.014,-0.012,-0.014,-0.012
4.00E-05,0.038,0.014,0.006,0.005,-0.038,-0.014,-0.038,-0.014,-0.038,-0.014,-0.038,-0.014,-0.038,-0.014,-0.038,-0.014,-0.038,-0.014
7.00E-05,0.074,0.038,0.04,0.006,-0.074,-0.038,-0.074,-0.038,-0.074,-0.038,-0.074,-0.038,-0.074,-0.038,-0.074,-0.038,-0.074,-0.038
4.00E-05,-0.022,0.074,0.004,0.04,0.022,-0.074,0.022,-0.074,0.022,-0.074,0.022,-0.074,0.022,-0.074,0.022,-0.074,0.022,-0.074
0,0.017,-0.022,0.006,0.004,-0.017,0.022,-0.017,0.022,-0.017,0.022,-0.017,0.022,-0.017,0.022,-0.017,0.022,-0.017,0.022
-1.00E-05,-0.011,0.017,0,0.006,0.011,-0.017,0.011,-0.017,0.011,-0.017,0.011,-0.017,0.011,-0.017,0.011,-0.017,0.011,-0.017
0.00031,-0.009,-0.011,-0.005,0,0.009,0.011,0.009,0.011,0.009,0.011,0.009,0.011,0.009,0.011,0.009,0.011,0.009,0.011
0.00078,-0.029,-0.009,-0.014,-0.005,0.029,0.009,0.029,0.009,0.029,0.009,0.029,0.009,0.029,0.009,0.029,0.009,0.029,0.009
0.0004,0.009,-0.029,-0.001,-0.014,-0.009,0.029,-0.009,0.029,-0.009,0.029,-0.009,0.029,-0.009,0.029,-0.009,0.029,-0.009,0.029
-0.00036,-0.006,0.009,-0.003,-0.001,0.006,-0.009,0.006,-0.009,0.006,-0.009,0.006,-0.009,0.006,-0.009,0.006,-0.009,0.006,-0.009
0.00077,-0.016,-0.006,0.001,-0.003,0.016,0.006,0.016,0.006,0.016,0.006,0.016,0.006,0.016,0.006,0.016,0.006,0.016,0.006
-0.00012,0.026,-0.016,-0.003,0.001,-0.026,0.016,-0.026,0.016,-0.026,0.016,-0.026,0.016,-0.026,0.016,-0.026,0.016,-0.026,0.016
3.00E-05,-0.001,0.026,0.008,-0.003,0.011,-0.026,0.011,-0.026,0.011,-0.026,0.011,-0.026,0.011,-0.026,0.011,-0.026,0.011,-0.026
-0.00021,0.006,-0.001,0.001,0.008,-0.006,0.011,-0.006,0.011,-0.006,0.011,-0.006,0.011,-0.006,0.011,-0.006,0.011,-0.006,0.011
3.00E-05,0.002,0.006,0.011,0.001,-0.002,-0.006,-0.002,-0.006,-0.002,-0.006,-0.002,-0.006,-0.002,-0.006,-0.002,-0.006,-0.002,-0.006
0.00053,0.009,0.002,0.005,0.011,0.021,-0.002,0.021,-0.002,0.021,-0.002,0.021,-0.002,0.021,-0.002,0.021,-0.002,0.021,-0.002
-0.0001,0.02,0.009,0.015,0.005,-0.02,0.021,-0.02,0.021,-0.02,0.021,-0.02,0.021,-0.02,0.021,-0.02,0.021,-0.02,0.021
0.00149,-0.013,0.02,0.002,0.015,0.043,-0.02,0.043,-0.02,0.043,-0.02,0.043,-0.02,0.043,-0.02,0.043,-0.02,0.043,-0.02
0.00103,-0.013,-0.013,-0.018,0.002,0.023,0.043,0.023,0.043,0.023,0.043,0.023,0.043,0.023,0.043,0.023,0.043,0.023,0.043
0.00028,-0.01,-0.013,-0.002,-0.018,0.01,0.023,0.01,0.023,0.01,0.023,0.01,0.023,0.01,0.023,0.01,0.023,0.01,0.023
0.00023,-0.007,-0.01,-0.007,-0.002,0.007,0.01,0.007,0.01,0.007,0.01,0.007,0.01,0.007,0.01,0.007,0.01,0.007,0.01
4.00E-05,0.026,-0.007,0.008,-0.007,-0.026,0.007,-0.026,0.007,-0.026,0.007,-0.026,0.007,-0.026,0.007,-0.026,0.007,-0.026,0.007
