AAAt,AAAt-1,delta_AAA,AA+t,AA+t-1,delta_AA+,AAt,AAt-1,delta_AA,AA-t,AA-t-1,delta_AA-,A+t,A+t-1,delta_A+,At,At-1,delta_A,A-t,A-t-1,delta_A-,volatility_t,volatility_t-1,delta_v
0.329,0.334,-0.005,0.349,0.354,-0.005,0.389,0.394,-0.005,0.419,0.424,-0.005,0.599,0.604,-0.005,0.869,0.874,-0.005,1.279,1.284,-0.005,1.57,-0.3,1.87
0.334,0.332,0.002,0.354,0.352,0.002,0.394,0.382,0.012,0.424,0.412,0.012,0.604,0.602,0.002,0.874,0.862,0.012,1.284,1.282,0.002,-0.3,1.13,-1.43
0.332,0.335,-0.003,0.352,0.355,-0.003,0.382,0.385,-0.003,0.412,0.415,-0.003,0.602,0.605,-0.003,0.862,0.865,-0.003,1.282,1.285,-0.003,1.13,3.51,-2.38
0.335,0.334,0.001,0.355,0.364,-0.009,0.385,0.394,-0.009,0.415,0.424,-0.009,0.605,0.614,-0.009,0.865,0.874,-0.009,1.285,1.294,-0.009,3.51,-5.67,9.18
0.334,0.347,-0.013,0.364,0.367,-0.003,0.394,0.407,-0.013,0.424,0.437,-0.013,0.614,0.617,-0.003,0.874,0.887,-0.013,1.294,1.297,-0.003,-5.67,-14.97,9.3
0.347,0.349,-0.002,0.367,0.369,-0.002,0.407,0.409,-0.002,0.437,0.439,-0.002,0.617,0.619,-0.002,0.887,0.889,-0.002,1.297,1.299,-0.002,-14.97,5.9,-20.87
0.349,0.343,0.006,0.369,0.373,-0.004,0.409,0.403,0.006,0.439,0.433,0.006,0.619,0.623,-0.004,0.889,0.883,0.006,1.299,1.303,-0.004,5.9,5.04,0.86
0.343,0.34,0.003,0.373,0.37,0.003,0.403,0.4,0.003,0.433,0.43,0.003,0.623,0.62,0.003,0.883,0.88,0.003,1.303,1.3,0.003,5.04,0,5.04
0.34,0.343,-0.003,0.37,0.363,0.007,0.4,0.403,-0.003,0.43,0.433,-0.003,0.62,0.613,0.007,0.88,0.883,-0.003,1.3,1.293,0.007,0,3.13,-3.13
0.343,0.34,0.003,0.363,0.36,0.003,0.403,0.4,0.003,0.433,0.43,0.003,0.613,0.61,0.003,0.883,0.88,0.003,1.293,1.29,0.003,3.13,3.96,-0.83
0.34,0.35,-0.01,0.36,0.37,-0.01,0.4,0.4,0,0.43,0.43,0,0.61,0.62,-0.01,0.88,0.88,0,1.29,1.3,-0.01,3.96,0.14,3.82
0.35,0.343,0.007,0.37,0.363,0.007,0.4,0.403,-0.003,0.43,0.433,-0.003,0.62,0.613,0.007,0.88,0.883,-0.003,1.3,1.293,0.007,0.14,2.46,-2.32
0.343,0.35,-0.007,0.363,0.37,-0.007,0.403,0.4,0.003,0.433,0.43,0.003,0.613,0.62,-0.007,0.883,0.88,0.003,1.293,1.3,-0.007,2.46,-1.15,3.61
0.35,0.34,0.01,0.37,0.36,0.01,0.4,0.4,0,0.43,0.43,0,0.62,0.62,0,0.88,0.88,0,1.3,1.3,0,-1.15,6.8,-7.95
0.34,0.338,0.002,0.36,0.358,0.002,0.4,0.398,0.002,0.43,0.428,0.002,0.62,0.618,0.002,0.88,0.878,0.002,1.3,1.298,0.002,6.8,-0.19,6.99
0.338,0.347,-0.009,0.358,0.367,-0.009,0.398,0.407,-0.009,0.428,0.427,0.001,0.618,0.617,0.001,0.878,0.877,0.001,1.298,1.297,0.001,-0.19,1.46,-1.65
0.347,0.353,-0.006,0.367,0.373,-0.006,0.407,0.413,-0.006,0.427,0.443,-0.016,0.617,0.623,-0.006,0.877,0.883,-0.006,1.297,1.303,-0.006,1.46,-0.31,1.77
0.353,0.347,0.006,0.373,0.377,-0.004,0.413,0.417,-0.004,0.443,0.447,-0.004,0.623,0.617,0.006,0.883,0.877,0.006,1.303,1.297,0.006,-0.31,0.166,-0.476
0.347,0.351,-0.004,0.377,0.381,-0.004,0.417,0.411,0.006,0.447,0.441,0.006,0.617,0.621,-0.004,0.877,0.881,-0.004,1.297,1.301,-0.004,0.166,1.14,-0.974
0.351,0.358,-0.007,0.381,0.378,0.003,0.411,0.418,-0.007,0.441,0.448,-0.007,0.621,0.618,0.003,0.881,0.878,0.003,1.301,1.298,0.003,1.14,-2.02,3.16
0.358,0.358,0,0.378,0.388,-0.01,0.418,0.418,0,0.448,0.448,0,0.618,0.618,0,0.878,0.888,-0.01,1.298,1.298,0,-2.02,-0.07,-1.95
0.358,0.359,-0.001,0.388,0.389,-0.001,0.418,0.419,-0.001,0.448,0.449,-0.001,0.618,0.619,-0.001,0.888,0.889,-0.001,1.298,1.299,-0.001,-0.07,0.53,-0.6
0.359,0.36,-0.001,0.389,0.38,0.009,0.419,0.42,-0.001,0.449,0.45,-0.001,0.619,0.62,-0.001,0.889,0.88,0.009,1.299,1.3,-0.001,0.53,-2.06,2.59
0.36,0.328,0.032,0.38,0.348,0.032,0.42,0.388,0.032,0.45,0.428,0.022,0.62,0.588,0.032,0.88,0.848,0.032,1.3,1.268,0.032,-2.06,-2.16,0.1
0.328,0.33,-0.002,0.348,0.36,-0.012,0.388,0.39,-0.002,0.428,0.42,0.008,0.588,0.59,-0.002,0.848,0.86,-0.012,1.268,1.27,-0.002,-2.16,-4.4,2.24
0.33,0.327,0.003,0.36,0.357,0.003,0.39,0.387,0.003,0.42,0.417,0.003,0.59,0.587,0.003,0.86,0.857,0.003,1.27,1.267,0.003,-4.4,1.25,-5.65
0.327,0.324,0.003,0.357,0.354,0.003,0.387,0.384,0.003,0.417,0.414,0.003,0.587,0.594,-0.007,0.857,0.854,0.003,1.267,1.274,-0.007,1.25,0.77,0.48
0.324,0.32,0.004,0.354,0.35,0.004,0.384,0.39,-0.006,0.414,0.42,-0.006,0.594,0.59,0.004,0.854,0.85,0.004,1.274,1.27,0.004,0.77,2.15,-1.38
0.32,0.335,-0.015,0.35,0.365,-0.015,0.39,0.395,-0.005,0.42,0.425,-0.005,0.59,0.595,-0.005,0.85,0.865,-0.015,1.27,1.275,-0.005,2.15,0,2.15
0.335,0.325,0.01,0.365,0.355,0.01,0.395,0.395,0,0.425,0.425,0,0.595,0.595,0,0.865,0.855,0.01,1.275,1.275,0,0,1.38,-1.38
0.325,0.32,0.005,0.355,0.35,0.005,0.395,0.39,0.005,0.425,0.42,0.005,0.595,0.59,0.005,0.855,0.85,0.005,1.275,1.27,0.005,1.38,-0.58,1.96
0.32,0.314,0.006,0.35,0.344,0.006,0.39,0.384,0.006,0.42,0.414,0.006,0.59,0.584,0.006,0.85,0.844,0.006,1.27,1.264,0.006,-0.58,-2.53,1.95
0.314,0.315,-0.001,0.344,0.345,-0.001,0.384,0.375,0.009,0.414,0.405,0.009,0.584,0.585,-0.001,0.844,0.845,-0.001,1.264,1.265,-0.001,-2.53,2.16,-4.69
0.315,0.315,0,0.345,0.345,0,0.375,0.385,-0.01,0.405,0.415,-0.01,0.585,0.585,0,0.845,0.845,0,1.265,1.265,0,2.16,0.22,1.94
0.315,0.324,-0.009,0.345,0.354,-0.009,0.385,0.384,0.001,0.415,0.414,0.001,0.585,0.584,0.001,0.845,0.854,-0.009,1.265,1.264,0.001,0.22,-4.41,4.63
0.324,0.328,-0.004,0.354,0.358,-0.004,0.384,0.388,-0.004,0.414,0.418,-0.004,0.584,0.598,-0.014,0.854,0.858,-0.004,1.264,1.278,-0.014,-4.41,2.91,-7.32
0.328,0.31,0.018,0.358,0.34,0.018,0.388,0.38,0.008,0.418,0.41,0.008,0.598,0.58,0.018,0.858,0.84,0.018,1.278,1.26,0.018,2.91,4.36,-1.45
0.31,0.315,-0.005,0.34,0.345,-0.005,0.38,0.385,-0.005,0.41,0.415,-0.005,0.58,0.585,-0.005,0.84,0.845,-0.005,1.26,1.265,-0.005,4.36,1.35,3.01
0.315,0.322,-0.007,0.345,0.352,-0.007,0.385,0.382,0.003,0.415,0.412,0.003,0.585,0.592,-0.007,0.845,0.852,-0.007,1.265,1.272,-0.007,1.35,1.75,-0.4
0.322,0.317,0.005,0.352,0.337,0.015,0.382,0.387,-0.005,0.412,0.417,-0.005,0.592,0.587,0.005,0.852,0.847,0.005,1.272,1.267,0.005,1.75,-2.31,4.06
0.317,0.315,0.002,0.337,0.345,-0.008,0.387,0.385,0.002,0.417,0.405,0.012,0.587,0.585,0.002,0.847,0.845,0.002,1.267,1.265,0.002,-2.31,-3.1,0.79
0.315,0.31,0.005,0.345,0.34,0.005,0.385,0.29,0.095,0.405,0.4,0.005,0.585,0.58,0.005,0.845,0.84,0.005,1.265,1.26,0.005,-3.1,1.47,-4.57
0.31,0.306,0.004,0.34,0.336,0.004,0.29,0.376,-0.086,0.4,0.396,0.004,0.58,0.576,0.004,0.84,0.836,0.004,1.26,1.256,0.004,1.47,-3.94,5.41
0.306,0.32,-0.014,0.336,0.35,-0.014,0.376,0.39,-0.014,0.396,0.42,-0.024,0.576,0.59,-0.014,0.836,0.85,-0.014,1.256,1.27,-0.014,-3.94,3.05,-6.99
0.32,0.312,0.008,0.35,0.342,0.008,0.39,0.382,0.008,0.42,0.412,0.008,0.59,0.582,0.008,0.85,0.842,0.008,1.27,1.262,0.008,3.05,0.07,2.98
