ID,NAME,TIME,P,CY,DONG,SIZE,F,LAT,LON,D_P,D_HS,D_R,D_U,D_HP,D_M,D_S,BRAND,N_H,N_D,HEAT,HIGHEST,LOWEST,PARK,YONG,GUN
12063,신동아,2008Q3,37000,1992,수서동,39.53,15,37.4891733,127.1008272,773.7186246,184.0593702,1111.141271,4327.386299,1146.941519,1668.6567,218.5054796,0,1162,8,지역난방,15,15,0.27,203,17
12064,신동아,2007Q3,23540,1992,수서동,33.18,11,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,12,2,개별난방,6,6,0,87,0
12065,신동아,2007Q3,23540,1992,수서동,33.18,11,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,106,1,개별난방,14,10,0.9,285,26
12066,신동아,2007Q3,23540,1992,수서동,33.18,11,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,1162,8,지역난방,15,15,0.27,203,17
12067,신동아,2011Q3,32000,1992,수서동,33.18,5,37.4872297,127.09869,581.7909484,419.7881887,1394.066253,4614.075846,992.3794605,1449.784333,280.1024571,0,12,2,개별난방,6,6,0,87,0
12068,신동아,2011Q3,32000,1992,수서동,33.18,5,37.4872297,127.09869,581.7909484,419.7881887,1394.066253,4614.075846,992.3794605,1449.784333,280.1024571,0,106,1,개별난방,14,10,0.9,285,26
12069,신동아,2011Q3,32000,1992,수서동,33.18,5,37.4872297,127.09869,581.7909484,419.7881887,1394.066253,4614.075846,992.3794605,1449.784333,280.1024571,0,1162,8,지역난방,15,15,0.27,203,17
12070,신동아,2008Q2,46000,1992,수서동,49.96,11,37.4849452,127.0909199,362.6314809,722.1313716,1727.291327,5251.088242,582.7092163,768.5462201,579.4553107,0,12,2,개별난방,6,6,0,87,0
12071,신동아,2008Q2,46000,1992,수서동,49.96,11,37.4849452,127.0909199,362.6314809,722.1313716,1727.291327,5251.088242,582.7092163,768.5462201,579.4553107,0,106,1,개별난방,14,10,0.9,285,26
12072,신동아,2008Q2,46000,1992,수서동,49.96,11,37.4849452,127.0909199,362.6314809,722.1313716,1727.291327,5251.088242,582.7092163,768.5462201,579.4553107,0,1162,8,지역난방,15,15,0.27,203,17
12073,신동아,2015Q3,98000,1997,청담동,84.94,9,37.5214767,127.0454121,621.8702921,225.8233772,1268.246509,1363.163712,456.5776791,904.9780228,598.7044943,0,12,2,개별난방,6,6,0,87,0
12074,신동아,2015Q3,98000,1997,청담동,84.94,9,37.5214767,127.0454121,621.8702921,225.8233772,1268.246509,1363.163712,456.5776791,904.9780228,598.7044943,0,106,1,개별난방,14,10,0.9,285,26
12075,신동아,2015Q3,98000,1997,청담동,84.94,9,37.5214767,127.0454121,621.8702921,225.8233772,1268.246509,1363.163712,456.5776791,904.9780228,598.7044943,0,1162,8,지역난방,15,15,0.27,203,17
12076,신동아,2007Q1,22800,1992,수서동,33.18,10,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,12,2,개별난방,6,6,0,87,0
